certified_per_keyper_resistance_usd,total_stress_targets,covered_stress_targets,empirical_certificate_coverage,empirical_certificate_coverage_pct
0,1.46317e+06,0,0,0
25,1.46317e+06,780370,0.5333419903360512,53.33419903360512
50,1.46317e+06,906971,0.6198671377898672,61.98671377898672
75,1.46317e+06,984668,0.6729689646452566,67.29689646452566
100,1.46317e+06,1.038598e+06,0.709827292795779,70.9827292795779
125,1.46317e+06,1.082233e+06,0.739649528079444,73.9649528079444
150,1.46317e+06,1.116768e+06,0.7632523903579215,76.32523903579215
175,1.46317e+06,1.142934e+06,0.7811354798143756,78.11354798143756
200,1.46317e+06,1.166859e+06,0.7974869632373545,79.74869632373544
225,1.46317e+06,1.185815e+06,0.8104423956204679,81.04423956204678
250,1.46317e+06,1.201795e+06,0.8213638879966101,82.136388799661
275,1.46317e+06,1.214498e+06,0.8300457226433019,83.00457226433019
300,1.46317e+06,1.225442e+06,0.8375253729915184,83.75253729915184
325,1.46317e+06,1.247832e+06,0.8528277643746113,85.28277643746112
350,1.46317e+06,1.257014e+06,0.8591031800816037,85.91031800816036
375,1.46317e+06,1.265977e+06,0.8652289207679217,86.52289207679217
400,1.46317e+06,1.274738e+06,0.8712166050424762,87.12166050424763
425,1.46317e+06,1.283896e+06,0.8774756180074769,87.74756180074769
450,1.46317e+06,1.291755e+06,0.8828468325621767,88.28468325621766
475,1.46317e+06,1.299131e+06,0.8878879419342933,88.78879419342934
500,1.46317e+06,1.305022e+06,0.8919141316456735,89.19141316456734
525,1.46317e+06,1.310799e+06,0.8958624083325929,89.5862408332593
550,1.46317e+06,1.314848e+06,0.8986296875961098,89.86296875961098
575,1.46317e+06,1.320244e+06,0.9023175707539111,90.2317570753911
600,1.46317e+06,1.32403e+06,0.9049051033031021,90.49051033031022
625,1.46317e+06,1.327803e+06,0.9074837510337145,90.74837510337144
650,1.46317e+06,1.332964e+06,0.9110110240095136,91.10110240095136
675,1.46317e+06,1.337381e+06,0.9140298119835699,91.402981198357
700,1.46317e+06,1.340312e+06,0.9160329968493066,91.60329968493066
725,1.46317e+06,1.343343e+06,0.9181045264733422,91.81045264733422
750,1.46317e+06,1.347327e+06,0.9208273816439648,92.08273816439649
775,1.46317e+06,1.351039e+06,0.9233643390720149,92.33643390720148
