trial,order,absolute_interaction_mass,normalized_mass
0,1,18.545996652476386,0.7437775015012993
0,2,5.567377510819851,0.22327676492701146
0,3,4.87832654356567,0.1956427360616533
0,4,7.114477686436995,0.285322408779702
0,5,3.8020505695448836,0.15247925070773094
0,6,0.9911617777668909,0.03975002500351512
0,7,1.2434497875801753e-14,4.986790376268141e-16
1,1,21.16953208696956,0.8445703552384756
1,2,1.5077034308486343,0.06015067394757814
1,3,1.0976327950638112,0.04379067595070066
1,4,2.2162194114708793,0.08841731635554109
1,5,7.105427357601002e-15,2.8347500940864273e-16
1,6,0.0,0.0
1,7,0.0,0.0
2,1,4.7020478879677405,0.705842106101704
2,2,1.1048332071537743,0.16585067111376695
2,3,1.2920945923018365,0.19396118245557262
2,4,1.0658141036401503e-14,1.5999336662464563e-15
2,5,7.105427357601002e-15,1.0666224441643043e-15
2,6,0.0,0.0
2,7,0.0,0.0
3,1,17.16998929550152,0.8379302260594826
3,2,1.4012326115448595,0.0683829872428239
3,3,3.4256476581703303,0.1671785385074673
3,4,2.3747981913681446,0.11589495782971229
3,5,1.4210854715202004e-14,6.935184698762427e-16
3,6,3.552713678800501e-15,1.7337961746906067e-16
3,7,3.552713678800501e-15,1.7337961746906067e-16
4,1,14.655762155851175,0.5821103344315492
4,2,6.150769904977734,0.24430163974574637
4,3,5.95206952200806,0.23640948475904883
4,4,13.55110081241474,0.53823443243319
4,5,8.78328318719444,0.34886209663709
4,6,1.4210854715202004e-14,5.644391129479243e-16
4,7,1.7763568394002505e-15,7.055488911849054e-17
5,1,5.539419373905776,0.3180487952579595
5,2,2.104146700843266,0.12081073449713399
5,3,1.3050210914120548,0.07492850024409282
5,4,24.054154777978457,1.3810824622022324
5,5,14.772608790976797,0.848177419265247
5,6,3.197442310920451e-14,1.8358290034611366e-15
5,7,7.105427357601002e-15,4.079620007691414e-16
6,1,9.348525603749517,0.43795574251413083
6,2,12.960608871868825,0.6071730797461726
6,3,9.258228269341405,0.43372553148257625
6,4,10.666599765849554,0.49970431900834134
6,5,4.474691645395728,0.2096284467889844
6,6,0.2495412486935784,0.011690402047534229
6,7,1.0658141036401503e-14,4.993080480568384e-16
7,1,9.75134164745722,0.3608617593872297
7,2,4.168139092166925,0.15424769847565178
7,3,4.168139092166914,0.1542476984756514
7,4,76.73512073633222,2.839688288731535
7,5,111.29130120410535,4.118487097360595
7,6,63.011798036501744,2.3318379279157098
7,7,13.899239984909837,0.514360420999894
8,1,6.007193109750062,0.25471523219574954
8,2,3.69508149230737,0.15667775666603267
8,3,9.002383252745403,0.3817164020940851
8,4,35.967337425032156,1.5250764435740125
8,5,34.692774197862974,1.4710327891708215
8,6,9.407129779083832,0.3988783450436776
8,7,7.105427357601002e-15,3.0128223717393897e-16
9,1,8.056323208411017,0.6057637363980879
9,2,2.285751060194663,0.1718681173632438
9,3,1.6387821901822477,0.12322182178974886
9,4,2.2606319909617483,0.16997938712741037
9,5,1.2434497875801753e-14,9.349634688955581e-16
9,6,7.105427357601002e-15,5.342648393688903e-16
9,7,0.0,0.0
10,1,11.714808395759281,0.43924822323262536
10,2,5.2636265621754035,0.1973603440268428
10,3,33.05970764468459,1.2395779216307499
10,4,41.77029979114826,1.5661826764317985
10,5,16.741971325427308,0.6277423334356527
10,6,2.0572017855365203,0.07713504127434205
10,7,3.552713678800501e-15,1.332094489596832e-16
11,1,12.082273426639325,0.5596729359034215
11,2,13.125812712918371,0.6080115784303027
11,3,13.764761850286618,0.6376088675311596
11,4,15.21188398307477,0.7046422034001065
11,5,9.642706121603734,0.44666773003439314
11,6,1.8931555578497914,0.08769441741382482
11,7,2.4868995751603507e-14,1.1519772292672797e-15
12,1,9.41651252876957,0.4837566158955121
12,2,19.917629305378135,1.0232328497406058
12,3,19.050943521016716,0.978708406024689
12,4,10.700332470122024,0.549710586471176
12,5,2.6424705466111824,0.13575223367745293
12,6,1.4210854715202004e-14,7.300574352771756e-16
12,7,7.105427357601002e-15,3.650287176385878e-16
13,1,5.595795910011859,0.24792640324585097
13,2,6.8523638580349715,0.30359969383709584
13,3,11.033812856118807,0.4888622779488698
13,4,27.09858202412684,1.2006252698179984
13,5,28.169567577108552,1.248076177669007
13,6,10.76890634274332,0.47712537400995464
13,7,1.7763568394002505e-14,7.870297079378982e-16
14,1,5.052370937038644,0.15558616275141443
14,2,12.381200416604855,0.38127514528948153
14,3,24.276094193149945,0.7475746316278845
14,4,55.420865767001985,1.7066680076548604
14,5,39.82867278764276,1.2265113634239915
14,6,6.9522211473384665,0.21409144823155615
14,7,3.552713678800501e-15,1.0940469247553254e-16
15,1,15.072560008938275,0.5043207087814882
15,2,0.5786571319586109,0.019361593170487995
15,3,1.3173245775490052,0.0440770555400553
15,4,92.80148451040444,3.105093654728014
15,5,150.65755196918025,5.040930229989043
15,6,90.14489775602694,3.01620552198131
15,7,19.370516793440235,0.6481283042123136
16,1,5.591731251064834,0.4363658381457851
16,2,1.6010230258778506,0.12494015238032921
16,3,6.447787557208645,0.5031705021680936
16,4,5.552891885558694,0.43333490344574743
16,5,8.881784197001252e-15,6.931139983911761e-16
16,6,1.0658141036401503e-14,8.317367980694113e-16
16,7,3.552713678800501e-15,2.772455993564704e-16
17,1,5.832144506685701,0.3245470319390546
