trial,maximum_retained_order,maximum_absolute_error,mean_absolute_error,maximum_relative_error
0,1,6.388875154000257,1.5697658060506736,0.21174991064269305
0,2,1.9287257489830054,0.3044162837957357,0.06768566539822526
0,3,2.8021069630137703,0.24386917199113461,0.09773548118821043
1,1,3.895913267185769,0.5369383740373697,0.1526067056389204
1,2,2.851031021435894,0.21786516446255855,0.12673311447888813
1,3,2.216219411470874,0.13851371321692962,0.09851467285782599
2,1,1.9595664409601348,0.38304995601423797,0.09491131563666809
2,2,1.0734139130540932,0.1341767391317622,0.05794094673621547
2,3,1.0658141036401503e-14,6.661338147750939e-16,4.796806473061422e-16
3,1,3.320964201004358,0.6618493926610751,0.134005668352159
3,2,2.0399713932035155,0.3228137213758633,0.08383342008640532
3,3,1.7599974244234637,0.1099998390264664,0.07401493831402584
4,1,10.521186764258676,2.1379533137794895,0.31360262607887024
4,2,6.007501589732826,0.772370949758653,0.20741955390013933
4,3,3.32951740318331,0.42932980882872834,0.1380966512494528
5,1,11.877465885517797,1.629248973825546,0.34052785163977745
5,2,9.7780266127772,1.1287734024222928,0.2803923321016009
5,3,9.2815459870017,1.0417406489056293,0.26608787892148394
6,1,11.997297035961353,2.9110035305737925,0.3940263379837405
6,2,5.820891873056645,0.7802344152863636,0.22746409161225944
6,3,4.587982304860866,0.4187848439507461,0.15878548937065193
7,1,17.271032970500993,3.0544127251868427,0.38334876363976844
7,2,13.102893878334065,2.056296880251765,0.3289774391317374
7,3,14.556377583818815,2.194063415330705,0.3252968799858408
8,1,17.576763993897018,2.9972144680114434,0.40935634189933806
8,2,13.881682501589658,2.073444094934602,0.32329925862530123
8,3,9.044329742805473,1.0691453851745,0.2248539429837158
9,1,5.2431246197380545,0.7998199605564822,0.22245776787610194
9,2,3.428393870343683,0.28725973435785246,0.15140249145799214
9,3,2.2606319909617305,0.14128949943510843,0.09983255385616963
10,1,14.955324290366878,3.5520675487509648,0.4440075392573353
10,2,10.75648525045997,2.238422572550879,0.34323225572419463
10,3,25.15439682487481,1.9307096797566912,0.7516674125275882
11,1,9.505823212581177,2.718138879270752,0.2711996705941255
11,2,6.623282529092975,0.8647103191236613,0.19765386131911336
11,3,5.204104807869438,0.42043924017824374,0.14969396318077563
12,1,10.048880231468086,3.3555722887710098,0.2772489125886636
12,2,11.251243030872558,1.6735973062860667,0.31663848218966306
12,3,7.4435523527525405,0.5469010807481823,0.20206506200825625
13,1,16.974595289762483,3.4108502344676865,0.513337800212988
13,2,10.12223143172752,1.6977592699589439,0.32827931987026915
13,3,6.008587650005445,0.7005614186151314,0.2336078311055005
14,1,27.420767083024217,5.377571662622126,0.5965887534748493
14,2,18.62986805556169,2.620683147251619,0.4551872061870756
14,3,10.862071051590718,1.407231008822354,0.27375177502395315
15,1,14.814295213318537,2.658556003035844,0.2819383854390086
15,2,14.235638081359923,2.5138917200461908,0.2709256673070987
15,3,12.918313503810914,2.349226147852565,0.2458549933975234
16,1,7.222588208096628,1.1545903026836735,0.2759505689802672
16,2,5.621565182218788,0.7543345462142129,0.214780915912378
16,3,3.1895571302742525,0.1993473206421412,0.1339578723490776
17,1,12.137961310769121,2.1144412105585735,0.24963054588477873
17,2,11.985686491897532,2.076372505840676,0.24649884648434522
17,3,8.282813290597886,1.6135133556782202,0.17034517990753378
18,1,25.48008976032599,6.878823258127182,0.5629200586021468
18,2,6.4072480551397994,1.697373511594444,0.20128767491193017
18,3,10.604672771299015,1.34494844251174,0.25594337839154513
19,1,20.069431753420417,2.8175364737290938,0.41029437983229805
19,2,18.68368997166926,2.4796799682646435,0.39277979654574335
19,3,18.396052506505505,2.435146345145835,0.38683112436150274
20,1,3.7790097510169574,0.531987008445798,0.12021018975090066
20,2,3.1268480007123856,0.36894657086965527,0.09946494353096287
20,3,1.656523936221717,0.17510866711650191,0.057836285752223174
21,1,2.7392545384846194,0.39732318374414677,0.10730585744798667
21,2,1.6515046822775048,0.11247472976774375,0.06624676519219733
