trial,seed,dimension,alternative_count,repetition,true_class,predicted_class,l1_distance,construction_epsilon,construction_residual_l1,analytic_separation_margin,ground_truth_witness_valid,tolerance,runtime_ms,coefficient_sum
46,20260725,3,4,46,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.29179999546613544,1.0
47,20260725,3,4,47,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.27629999385681003,1.0
48,20260725,3,4,48,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2749999985098839,1.0000000000000002
49,20260725,3,4,49,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2783999952953309,1.0
50,20260725,3,4,50,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2736999886110425,1.0
51,20260725,3,4,51,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2820999943651259,1.0
52,20260725,3,4,52,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.27940000290982425,0.9999999999999999
53,20260725,3,4,53,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2739000046858564,0.9999999999999998
54,20260725,3,4,54,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.27289999707136303,0.9999999999999999
55,20260725,3,4,55,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.27350000164005905,1.0000000000000002
56,20260725,3,4,56,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3223000094294548,0.9999999999999999
57,20260725,3,4,57,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.305800000205636,1.0000000000000002
58,20260725,3,4,58,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3074999985983595,0.9999999999999999
59,20260725,3,4,59,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2874000056181103,0.9999999999999999
60,20260725,3,4,0,separable,separable,0.848917249486816,0.0,,0.424458624743408,True,1e-08,0.3858999989461154,1.0
61,20260725,3,4,1,separable,separable,0.6558504967754604,0.0,,0.3279252483877302,True,1e-08,0.3668999997898936,1.0
62,20260725,3,4,2,separable,separable,0.6151666054752816,0.0,,0.3075833027376408,True,1e-08,0.3372999926796183,1.0
63,20260725,3,4,3,separable,separable,0.8885462530144852,0.0,,0.4442731265072426,True,1e-08,0.3495999990263954,1.0
