n,subset_states,wall_seconds,peak_mib,optimum
8,256,0.0006895000115036964,0.007790565490722656,17.51687264719981
10,1024,0.009997400004067458,0.020310401916503906,24.55673402547717
12,4096,0.05124620000424329,0.0701608657836914,18.449537292899326
14,16384,0.30433880000782665,0.2693948745727539,15.77876045099817
16,65536,1.53514140000334,1.0662622451782227,17.928713419195713
18,262144,7.343262700000196,4.253922462463379,34.09787183546283
